Year;Month;Region;Total Rainfall (mm)
2009;January;Al-Ahsa;0.0
2009;January;Yenbo;0.0
2009;January;Abha;9.5
2009;January;Guriat;0.0
2009;January;Turaif;1.0
2009;January;Jeddah KAIA;1.0
2009;February;Khamis Mushait;0.0
2009;February;Madinah;0.0
2009;February;Bisha;2.6
2009;February;Taif;0.0
2009;February;Dhahran;3.0
2009;March;Hail;1.0
2009;March;Hafr Elbatten;10.0
2009;March;Al-Ahsa;8.3
2009;March;Guriat;3.2
2009;March;Bisha;0.0
2009;March;Najran;0.0
2009;March;Al-Jouf;11.0
2009;March;Sharorah;0.0
2009;March;Qassim;1.0
2009;April;Hail;1.0
2009;April;Khamis Mushait;14.2
2009;April;Hafr Elbatten;14.0
2009;April;Al-Ahsa;22.8
2009;April;Najran;9.3
2009;April;Qaisumah;6.5
2009;April;Al-Baha;5.0
2009;May;Hail;17.9
2009;May;Khamis Mushait;1.0
2009;May;Hafr Elbatten;10.1
2009;May;Dmmam;0.0
2009;May;Makkah;0.0
2009;May;Turaif;16.3
2009;May;Jizan;0.0
2009;May;Sharorah;0.0
2009;May;Riyadh Old;2.0
2009;June;Khamis Mushait;3.5
2009;June;Makkah;0.0
2009;June;Jizan;0.0
2009;June;Najran;0.0
2009;June;Al-Jouf;0.0
2009;June;Tabuk;8.0
2009;June;Riyadh Old;0.0
2009;July;Al-Ahsa;0.0
2009;July;Madinah;0.0
2009;July;Makkah;0.0
2009;July;Bisha;0.0
2009;July;Dhahran;0.0
2009;July;Al-Jouf;0.0
2009;August;Al-Ahsa;0.0
2009;August;Makkah;2.2
2009;August;Riyadh New;0.0
2009;August;Riyadh Old;0.0
2009;September;Arar;0.0
2009;September;Guriat;0.0
2009;September;Madinah;0.0
2009;September;Bisha;0.0
2009;September;Najran;0.0
2009;September;Rafha;0.0
2009;September;Al-Baha;1.0
2009;October;Khamis Mushait;0.0
2009;October;Abha;0.0
2009;October;Turaif;1.0
2009;October;Sulayel;1.0
2009;October;Rafha;0.0
2009;October;Sharorah;0.0
2009;October;Jeddah KAIA;0.0
2009;October;Qaisumah;0.0
2009;October;Al-Baha;0.0
2009;November;Wejh;18.4
2009;November;Dmmam;1.0
2009;November;Taif;13.0
2009;November;Dhahran;1.7
2009;November;Riyadh New;1.0
2009;December;Hail;10.1
2009;December;Abha;8.2
2009;December;Guriat;54.4
2009;December;Dmmam;66.8
2009;December;Turaif;3.0
2009;December;Sulayel;40.1
2009;December;Taif;3.6
2009;December;Jeddah KAIA;20.3
2010;January;Yenbo;1.2
2010;January;Taif;0.0
2010;January;Jizan;0.0
2010;January;Najran;0.0
2010;January;Jeddah KAIA;0.0
2010;January;Riyadh Old;1.0
2010;February;Yenbo;0.0
2010;February;Abha;4.3
2010;February;Madinah;0.0
2010;February;Makkah;44.8
2010;February;Turaif;36.7
2010;February;Al-Jouf;1.0
2010;February;Tabuk;0.0
2010;March;Arar;1.4
2010;March;Khamis Mushait;2.0
2010;March;Turaif;61.6
2010;March;Sulayel;1.0
2010;March;Taif;3.2
2010;March;Dhahran;1.0
2010;March;Qaisumah;1.0
2010;April;Al-Ahsa;11.7
2010;April;Guriat;1.0
2010;April;Riyadh New;11.5
2010;April;Riyadh Old;16.5
2010;May;Khamis Mushait;99.0
2010;May;Guriat;1.0
2010;May;Madinah;0.0
2010;May;Bisha;1.6
2010;May;Sulayel;1.0
2010;May;Rafha;2.5
2010;May;Jeddah KAIA;0.0
2010;June;Khamis Mushait;8.5
2010;June;Al-Ahsa;0.0
2010;June;Taif;1.0
2010;June;Jizan;0.0
2010;June;Jeddah KAIA;0.0
2010;June;Riyadh New;0.0
2010;June;Tabuk;0.0
2010;June;Al-Baha;23.9
2010;July;Dhahran;0.0
2010;July;Al-Jouf;0.0
2010;July;Al-Baha;7.7
2010;August;Hail;0.0
2010;August;Bisha;3.2
2010;August;Jizan;11.0
2010;August;Najran;1.0
2010;August;Al-Jouf;0.0
2010;August;Sharorah;0.0
2010;August;Jeddah KAIA;1.0
2010;September;Wejh;0.0
2010;September;Al-Ahsa;0.0
2010;September;Abha;1.0
2010;September;Dmmam;0.0
2010;September;Taif;0.0
2010;September;Najran;2.0
2010;September;Al-Jouf;0.0
2010;September;Sharorah;0.0
2010;September;Qassim;0.0
2010;September;Qaisumah;0.0
2010;October;Khamis Mushait;0.0
2010;October;Najran;3.4
2010;November;Wejh;0.0
2010;November;Hafr Elbatten;0.0
2010;November;Abha;8.0
2010;November;Jeddah KAIA;1.0
2010;November;Riyadh New;0.0
2010;November;Riyadh Old;0.0
2010;November;Al-Baha;4.1
2010;December;Dmmam;0.0
2010;December;Bisha;4.4
2010;December;Rafha;6.0
2011;January;Sulayel;1.0
2011;January;Jizan;1.0
2011;January;Riyadh New;46.8
2011;February;Hail;1.0
2011;February;Hafr Elbatten;2.5
2011;February;Yenbo;1.0
2011;February;Jizan;0.0
2011;February;Al-Jouf;4.6
2011;February;Qaisumah;1.0
2011;March;Khamis Mushait;11.7
2011;March;Al-Ahsa;1.0
2011;March;Makkah;43.7
2011;March;Turaif;1.0
2011;March;Najran;0.0
2011;March;Riyadh New;24.6
2011;March;Tabuk;1.0
2011;March;Qaisumah;7.0
2011;April;Khamis Mushait;10.2
2011;April;Madinah;1.0
2011;April;Sulayel;1.0
2011;April;Dhahran;4.8
2011;April;Qaisumah;11.4
2011;April;Al-Baha;1.0
2011;May;Sharorah;4.2
2011;May;Jeddah KAIA;0.0
2011;May;Qassim;1.0
2011;June;Hail;2.0
2011;June;Taif;0.0
2011;June;Sharorah;0.0
2011;June;Tabuk;0.0
2011;July;Hail;0.0
2011;July;Dmmam;0.0
2011;August;Hail;0.0
2011;August;Khamis Mushait;53.1
2011;August;Abha;41.6
2011;August;Dmmam;0.0
2011;August;Makkah;0.0
2011;August;Sulayel;0.0
2011;August;Taif;0.0
2011;August;Dhahran;0.0
2011;August;Rafha;0.0
2011;September;Wejh;0.0
2011;September;Yenbo;0.0
2011;September;Abha;44.2
2011;September;Guriat;0.0
2011;September;Makkah;0.0
2011;September;Bisha;0.0
2011;September;Taif;0.0
2011;September;Najran;0.0
2011;September;Al-Baha;0.0
2011;October;Khamis Mushait;0.0
2011;October;Madinah;0.0
2011;October;Bisha;0.0
2011;October;Najran;0.0
2011;October;Rafha;0.0
2011;November;Arar;0.0
2011;November;Hail;10.1
2011;November;Khamis Mushait;1.4
2011;November;Madinah;35.0
2011;November;Taif;1.0
2011;November;Jizan;20.0
2011;November;Al-Baha;0.0
2011;December;Yenbo;0.0
2011;December;Najran;0.0
2011;December;Riyadh New;0.0
2011;December;Qaisumah;0.0
2011;December;Al-Baha;0.0
2012;January;Khamis Mushait;0.0
2012;January;Hafr Elbatten;0.0
2012;January;Yenbo;0.0
2012;January;Bisha;0.0
2012;January;Jizan;0.0
2012;January;Najran;0.0
2012;January;Jeddah KAIA;0.0
2012;January;Al-Baha;0.0
2012;February;Hail;2.7
2012;February;Khamis Mushait;0.0
2012;February;Yenbo;1.7
2012;February;Taif;0.0
2012;February;Dhahran;2.3
2012;March;Wejh;7.8
2012;March;Hafr Elbatten;7.5
2012;March;Bisha;0.0
2012;March;Taif;0.0
2012;March;Dhahran;5.2
2012;March;Qassim;3.8
2012;April;Hafr Elbatten;24.0
2012;April;Yenbo;0.0
2012;April;Bisha;62.0
2012;April;Taif;73.6
2012;April;Dhahran;4.9
2012;April;Riyadh New;38.4
2012;April;Tabuk;8.5
2012;May;Al-Ahsa;0.0
2012;May;Turaif;1.0
2012;June;Al-Ahsa;0.0
2012;June;Abha;4.0
2012;June;Makkah;0.0
2012;June;Bisha;0.0
2012;June;Al-Baha;2.0
2012;July;Arar;0.0
2012;July;Wejh;0.0
2012;July;Madinah;0.0
2012;July;Jizan;0.0
2012;July;Jeddah KAIA;0.0
2012;August;Khamis Mushait;0.0
2012;August;Wejh;0.0
2012;August;Abha;14.0
2012;August;Guriat;0.0
2012;August;Makkah;0.0
2012;August;Sulayel;1.0
2012;August;Dhahran;0.0
2012;August;Rafha;0.0
2012;August;Sharorah;3.7
2012;August;Jeddah KAIA;0.0
2012;August;Riyadh New;0.0
2012;September;Arar;0.0
2012;September;Hail;0.0
2012;September;Abha;3.5
2012;September;Rafha;0.0
